nb_candidats_g;note_a_l_ecrit_g;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;taux_de_reussite_g
166;13.1;94.0;99.0;99.0
44;10.8;96.0;94.0;98.0
67;10.8;96.0;94.0;82.0
81;11.0;91.0;98.0;94.0
42;9.1;80.0;94.0;86.0
42;11.0;93.0;98.0;93.0
49;11.4;98.0;98.0;100.0
77;11.8;90.0;100.0;90.0
130;11.8;96.0;100.0;95.0
82;12.6;93.0;100.0;100.0
81;11.2;92.0;96.0;84.0
80;10.4;91.0;99.0;91.0
117;11.8;94.0;99.0;94.0
33;12.2;87.0;100.0;100.0
42;11.3;94.0;100.0;100.0
60;10.7;88.0;98.0;93.0
71;10.2;93.0;93.0;93.0
38;11.8;88.0;100.0;87.0
39;12.2;96.0;95.0;87.0
45;11.0;91.0;96.0;91.0
99;10.7;95.0;95.0;85.0
66;11.6;98.0;100.0;95.0
106;11.7;98.0;99.0;87.0
35;11.1;91.0;95.0;86.0
136;13.9;94.0;100.0;99.0
109;9.7;90.0;98.0;73.0
117;11.1;98.0;99.0;77.0
86;9.4;89.0;92.0;81.0
119;9.3;91.0;100.0;74.0
54;11.1;85.0;95.0;98.0
113;13.0;62.0;93.0;97.0
55;10.7;98.0;98.0;85.0
38;11.4;98.0;100.0;92.0
68;10.4;100.0;100.0;84.0
115;9.1;93.0;99.0;61.0
33;10.2;96.0;100.0;85.0
72;11.9;96.0;96.0;94.0
49;12.5;100.0;100.0;100.0
70;11.2;93.0;99.0;94.0
94;11.8;93.0;94.0;93.0
86;11.4;94.0;100.0;98.0
47;11.4;91.0;100.0;94.0
36;12.5;79.0;97.0;97.0
122;12.7;92.0;97.0;96.0
83;10.6;89.0;99.0;86.0
93;12.1;91.0;99.0;95.0
47;12.6;87.0;100.0;91.0
35;12.5;93.0;98.0;97.0
31;9.4;88.0;84.0;84.0
101;11.8;90.0;98.0;94.0
71;10.1;86.0;96.0;90.0
107;10.9;93.0;96.0;93.0
97;12.3;90.0;95.0;99.0
143;11.0;95.0;98.0;94.0
60;12.4;86.0;89.0;95.0
104;10.8;96.0;100.0;88.0
46;11.0;100.0;100.0;85.0
